data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-06-26 00:00,0,-999.0,37.83,982.38,18.02,-999.0,345.91,263.91,1.13,1.12,0,-25
2013-06-26 01:00,0,-999.0,56.33,982.97,14.97,-999.0,242.69,190.46,0.6,0.58,0,-23.67
2013-06-26 02:00,0,-999.0,57.17,983.38,14.53,-999.0,247.12,180.96,0.72,0.97,0,-19
2013-06-26 03:00,0,-999.0,58.67,983.4,14.77,-999.0,215.22,171.76,1.1,1.28,0,-19
2013-06-26 04:00,0,-999.0,64.67,983.45,14.38,-999.0,346.61,283.82,0.83,0.73,0,-20.17
2013-06-26 05:00,0,-999.0,73.5,983.5,12.88,-999.0,331.63,278.88,0.83,0.77,0,-23.83
2013-06-26 06:00,0,-999.0,55.83,983.62,14.28,-999.0,347.79,299.54,1.13,1.02,63.67,-12.67
2013-06-26 07:00,0,-999.0,48.17,983.95,18.02,-999.0,24.82,23.3,0.48,0.63,236,52
2013-06-26 08:00,0,-999.0,36.83,984.27,21.03,-999.0,60.35,110.27,0.6,0.85,430.17,154.67
2013-06-26 09:00,0,-999.0,29.83,984.47,22.8,-999.0,133.94,104.51,0.7,1.12,600.67,257.5
2013-06-26 10:00,0,-999.0,28.6,984.4,23.44,-999.0,10.12,38.37,0.85,1.46,742,349.4
2013-06-26 11:00,0,-999.0,25.83,984.43,24.7,-999.0,133.64,125.68,1.43,1.72,872.67,430.67
2013-06-26 12:00,0,-999.0,23.67,984.38,25.78,-999.0,178.25,160.56,0.82,1.53,842.83,416.67
2013-06-26 13:00,0,-999.0,25.5,984.12,26.35,-999.0,151.18,133.5,1.77,2.42,990.83,505.83
2013-06-26 14:00,0,-999.0,25.67,983.68,25.98,-999.0,229.72,213.2,1.47,2.1,802.33,392.83
2013-06-26 15:00,0,-999.0,24.17,983.17,26.63,-999.0,340.63,243.34,1.48,2.05,863.83,410.17
2013-06-26 16:00,0,-999.0,23,982.88,27.07,-999.0,243.34,190.63,1.55,1.8,775.17,351.83
2013-06-26 17:00,0,-999.0,20.5,982.25,27.45,-999.0,51.14,70.88,1.1,2.02,629.33,248
2013-06-26 18:00,0,-999.0,20.33,982.33,26.72,-999.0,27.58,331.57,1.67,2.22,450.33,138.17
2013-06-26 19:00,0,-999.0,28,982.8,24.88,-999.0,38.83,33.78,2.17,2.63,255.83,39.83
2013-06-26 20:00,0,-999.0,44.33,983.75,21.05,-999.0,123.28,105.49,1.58,2.03,56.83,-24.5
2013-06-26 21:00,0,-999.0,53,984.23,18.45,-999.0,73.51,65.37,0.88,1.15,0,-38.5
2013-06-26 22:00,0,-999.0,68.33,984.88,15.62,-999.0,38.53,15.68,0.95,0.9,0,-37.17
2013-06-26 23:00,0,-999.0,79.33,985.37,13.4,-999.0,19.51,347.55,0.72,0.68,0,-39.5
2013-06-27 00:00,0,-999.0,87.8,985.7,12.06,-999.0,36.48,41.26,0.72,0.74,0,-39.8
2013-06-27 01:00,0,-999.0,90.17,985.7,11.38,-999.0,1.8,299.27,1.1,1.03,0,-38.17
2013-06-27 02:00,0,-999.0,84.33,985.77,10.77,-999.0,5.75,321.64,0.97,0.95,0,-39.17
2013-06-27 03:00,0,-999.0,84,985.78,10.33,-999.0,25.77,22.24,0.8,0.85,0,-33.5
2013-06-27 04:00,0,-999.0,73.67,985.57,12.75,-999.0,70.65,69.13,1.18,1.47,0,-42
2013-06-27 05:00,0,-999.0,72.17,985.65,13.3,-999.0,58.28,54.99,1.2,1.42,0,-33
2013-06-27 06:00,0,-999.0,67.33,985.88,14.6,-999.0,86.96,82.46,1.2,1.55,43.67,1.33
2013-06-27 07:00,0,-999.0,62.5,985.82,16,-999.0,93.42,87.41,1.2,1.87,121.83,51.67
2013-06-27 08:00,0,-999.0,57.83,985.83,17.12,-999.0,107.61,100.19,1.55,2.13,224.33,96.5
2013-06-27 09:00,0,-999.0,54.17,985.87,18.05,-999.0,113.86,97.44,1.55,2.33,282.67,123.5
2013-06-27 10:00,0,-999.0,51.17,985.63,19.55,-999.0,122.11,104.63,1.88,2.5,483.5,225.5
2013-06-27 11:00,0,-999.0,49,985.23,20.55,-999.0,101.73,95.07,1.75,2.45,503.67,246.67
2013-06-27 12:00,0,-999.0,47.33,984.9,21.15,-999.0,123.16,103.87,1.22,1.72,475,224.33
2013-06-27 13:00,0,-999.0,45.5,984.38,22.03,-999.0,152.66,131.73,1.13,1.82,517.67,251.67
2013-06-27 14:00,0,-999.0,43.17,983.73,22.9,-999.0,136.8,111.38,1.67,2.28,641,318.67
2013-06-27 15:00,0,-999.0,51.5,983,21.62,-999.0,63.33,32.78,1.15,1.68,184.5,54.83
2013-06-27 16:00,0.2,-999.0,68.17,982.83,16.85,-999.0,351.85,351.96,2.57,2.48,19.67,-50
2013-06-27 17:00,0.4,-999.0,78.5,982.52,15.55,-999.0,284.57,285.65,1.3,1.6,85.5,-6.67
2013-06-27 18:00,0,-999.0,72.5,981.77,16.47,-999.0,59.67,70.12,2.4,2.62,353,77.5
2013-06-27 19:00,0,-999.0,60,981.98,18.1,-999.0,65.64,77.52,1.18,1.28,255.33,80.67
2013-06-27 20:00,0,-999.0,64.17,982.52,17.58,-999.0,138.27,145.67,1.27,1.88,104.17,17.83
2013-06-27 21:00,0,-999.0,78.17,983.08,13.8,-999.0,143.95,147.2,1.3,1.68,2.67,-43.83
2013-06-27 22:00,0,-999.0,86.67,983.77,11.85,-999.0,127.4,124.57,0.82,1.03,0,-45.67
2013-06-27 23:00,0,-999.0,90.33,983.93,10.82,-999.0,5.88,356.21,0.87,0.78,0,-40.67
2013-06-28 00:00,0,-999.0,91.5,983.96,9.53,-999.0,351.53,9.27,0.55,0.4,0,-37.17
2013-06-28 01:00,0,-999.0,92.5,983.77,8.88,-999.0,321.96,322.8,0.6,0.43,0,-37.5
2013-06-28 02:00,0,-999.0,93.17,983.47,8.28,-999.0,323.76,332.19,0.67,0.37,0,-26.83
2013-06-28 03:00,0,-999.0,94,982.97,9.05,-999.0,358.05,45.5,0.47,0.22,0,-22
2013-06-28 04:00,0,-999.0,94.17,982.4,9.82,-999.0,2.02,70.96,0.38,0.18,0,-17
2013-06-28 05:00,0,-999.0,93,982.08,10.22,-999.0,8.06,89.65,0.37,0.18,0,-8.67
2013-06-28 06:00,0,-999.0,85.67,982.3,11.05,-999.0,272.03,246.76,0.65,0.8,24.67,6.5
2013-06-28 07:00,0,-999.0,85.83,982.67,11.75,-999.0,270.35,271.25,1.17,1.32,157.83,43.33
2013-06-28 08:00,0,-999.0,68.33,983.13,13.98,-999.0,274.5,268.93,2.17,2.28,301.5,133.67
2013-06-28 09:00,0,-999.0,63.67,983.38,15.18,-999.0,262.47,258.2,1.47,1.63,328.17,159.17
2013-06-28 10:00,0,-999.0,57.17,983.32,17.03,-999.0,214.67,189.1,0.95,1.53,492.5,246.5
2013-06-28 11:00,0,-999.0,24.83,983.38,18.98,-999.0,221.38,214.81,1.67,2.27,701,366.5
2013-06-28 12:00,0,-999.0,21.33,983.37,20.78,-999.0,208.56,212.44,2,2.63,854,446
2013-06-28 13:00,0,-999.0,20.5,983.13,21.13,-999.0,229.83,230.1,2.15,2.42,641.33,318.33
2013-06-28 14:00,0,-999.0,24.67,982.8,19.78,-999.0,209.65,202.68,1.78,2.35,306.33,131.5
2013-06-28 15:00,0,-999.0,22.17,982.4,20.65,-999.0,186.54,181.99,2.03,2.65,649.83,313.17
2013-06-28 16:00,0,-999.0,26.83,981.93,20,-999.0,132.41,120.75,1.75,2.38,308.83,97
2013-06-28 17:00,0,-999.0,31.83,981.75,18.72,-999.0,124.02,138.3,1.42,1.83,399.5,111.33
2013-06-28 18:00,0,-999.0,22.67,981.52,20.82,-999.0,184.95,197.64,1.55,2.02,336,109.67
2013-06-28 19:00,0,-999.0,24.83,981.75,19.92,-999.0,207.94,188.25,1.4,1.55,123,5.5
2013-06-28 20:00,0,-999.0,36.33,982.28,16.42,-999.0,143.83,144.8,0.62,0.8,6,-23.17
2013-06-28 21:00,0,-999.0,49.33,982.82,13.78,-999.0,15.21,57,0.35,0.05,0,-32.17
2013-06-28 22:00,0,-999.0,58.83,983.38,11.63,-999.0,345.29,0.51,0.55,0.27,0,-34.17
2013-06-28 23:00,0,-999.0,61.67,983.9,10.72,-999.0,349.52,349.58,0.75,0.5,0,-30.5
2013-06-29 00:00,0,-999.0,62.33,983.92,9.72,-999.0,339.83,346.19,0.73,0.62,0,-32.33
2013-06-29 01:00,0,-999.0,63,983.8,9.12,-999.0,327.62,327.3,0.7,0.52,0,-32.17
2013-06-29 02:00,0,-999.0,63.5,983.37,9.02,-999.0,314.54,320.08,0.75,0.57,0,-31.83
2013-06-29 03:00,0,-999.0,63.17,983.2,9.02,-999.0,348.12,9.18,0.48,0.38,0,-29.67
2013-06-29 04:00,0,-999.0,79,982.83,8.83,-999.0,340.77,5.14,0.45,0.38,0,-28.33
2013-06-29 05:00,0,-999.0,65.2,982.83,8.97,-999.0,327.11,329.93,0.63,0.6,0,-25.33
2013-06-29 06:00,0,-999.0,74.33,982.83,10,-999.0,330.27,334.52,0.95,0.92,39.33,-3
2013-06-29 07:00,0,-999.0,91.17,982.9,12.6,-999.0,0.56,2.64,0.92,0.98,159.67,44.17
2013-06-29 08:00,0,-999.0,70.67,982.98,15.55,-999.0,7.87,5.09,1.22,1.35,240.67,93.83
2013-06-29 09:00,0,-999.0,59,983.27,17.95,-999.0,353.17,20.19,0.62,0.67,282,120
2013-06-29 10:00,0,-999.0,54.5,983.2,18.87,-999.0,31.79,79.64,0.55,0.77,252.67,85.17
2013-06-29 11:00,0,-999.0,49.17,982.85,19.87,-999.0,57.69,58.62,0.82,1.22,409.67,170.5
2013-06-29 12:00,0,-999.0,47.67,982.75,20.03,-999.0,40.35,46.77,1.22,1.43,443.5,189.33
2013-06-29 13:00,0,-999.0,44.17,982.38,21.3,-999.0,347.89,321.5,0.73,1.28,461.67,203.17
2013-06-29 14:00,0,-999.0,40,981.9,21.92,-999.0,268.7,261.45,1.22,1.37,348.67,146
2013-06-29 15:00,0,-999.0,40.33,981.42,21.97,-999.0,262.87,256.35,1.28,1.58,355.83,144.83
2013-06-29 16:00,0,-999.0,39.2,981,22.34,-999.0,266.32,259.86,1.68,1.94,379,158
2013-06-29 17:00,0,-999.0,35.17,980.52,22.62,-999.0,263.05,264.41,1.97,2.17,422,163.83
2013-06-29 18:00,0,-999.0,36.67,980.42,22.98,-999.0,262.19,259.85,2.05,2.18,353.83,105.67
2013-06-29 19:00,0,-999.0,36.33,980.43,22.65,-999.0,258.3,256.13,1.92,1.97,214,29
