data_e_ora,prec(mm/h),prec2(mm/h),urel(%),press(hPa),temp(C),temp2(C),dir(gradi_da_nord),dir2(gradi_da_nord),vel(m/s),vel2(m/s),radG(W/m^2),radN(W/m^2)
2013-07-02 00:00,0,-999.0,60,906.88,17.2,16.77,-999.0,-999.0,1,-999.0,0,-999.0
2013-07-02 01:00,0,-999.0,59.67,906.75,17.22,16.8,-999.0,-999.0,0.95,-999.0,0,-999.0
2013-07-02 02:00,0,-999.0,61.17,906.45,16.8,16.28,-999.0,-999.0,1,-999.0,0,-999.0
2013-07-02 03:00,0,-999.0,63.83,906.22,16.17,15.63,-999.0,-999.0,1.02,-999.0,0,-999.0
2013-07-02 04:00,0,-999.0,67.83,906.2,15.47,14.88,-999.0,-999.0,1.32,-999.0,0,-999.0
2013-07-02 05:00,0,-999.0,70,906.2,14.85,14.38,-999.0,-999.0,0.88,-999.0,0,-999.0
2013-07-02 06:00,0,-999.0,71.17,906.23,14.92,14.63,-999.0,-999.0,0.93,-999.0,37.83,-999.0
2013-07-02 07:00,0,-999.0,69.17,906.57,15.3,15,-999.0,-999.0,0.65,-999.0,116,-999.0
2013-07-02 08:00,0,-999.0,67.17,906.68,16.3,15.67,-999.0,-999.0,0.83,-999.0,353.33,-999.0
2013-07-02 09:00,0,-999.0,64.67,906.75,17.63,18.08,-999.0,-999.0,0.77,-999.0,515.5,-999.0
2013-07-02 10:00,0,-999.0,64.17,906.65,18.47,19.4,-999.0,-999.0,1.5,-999.0,746,-999.0
2013-07-02 11:00,0,-999.0,58.83,906.55,19.37,20.52,-999.0,-999.0,1.85,-999.0,857,-999.0
2013-07-02 12:00,0,-999.0,58.33,906.47,20.05,21.37,-999.0,-999.0,2.62,-999.0,910.5,-999.0
2013-07-02 13:00,0,-999.0,60,906.17,20.23,21.67,-999.0,-999.0,3.45,-999.0,965,-999.0
2013-07-02 14:00,0,-999.0,59,905.75,20.7,22.2,-999.0,-999.0,3.82,-999.0,940.17,-999.0
2013-07-02 15:00,0,-999.0,57.17,905.42,20.82,22.22,-999.0,-999.0,4.22,-999.0,865.83,-999.0
2013-07-02 16:00,0,-999.0,55.33,905.3,21.25,22.72,-999.0,-999.0,3.67,-999.0,734.33,-999.0
2013-07-02 17:00,0,-999.0,51.17,904.88,21.77,23.07,-999.0,-999.0,3,-999.0,566.17,-999.0
2013-07-02 18:00,0,-999.0,49.83,904.52,21.35,22.05,-999.0,-999.0,3.32,-999.0,311.67,-999.0
2013-07-02 19:00,0,-999.0,52.33,904.7,20.17,19.97,-999.0,-999.0,2.52,-999.0,69.67,-999.0
2013-07-02 20:00,0,-999.0,52,904.9,19.75,19.37,-999.0,-999.0,1.83,-999.0,18,-999.0
2013-07-02 21:00,0,-999.0,55.83,905.02,18.83,18.37,184.78,-999.0,1.78,-999.0,0,-999.0
2013-07-02 22:00,0,-999.0,57.5,905.42,18.35,18.07,146.88,-999.0,1.02,-999.0,0,-999.0
2013-07-02 23:00,0,-999.0,57.17,905.3,18.37,18.08,52.17,-999.0,0.78,-999.0,0,-999.0
2013-07-03 00:00,0,-999.0,56,905.14,18.17,17.93,191.47,-999.0,1.03,-999.0,0,-999.0
2013-07-03 01:00,0,-999.0,60.5,904.93,17.33,17.08,-999.0,-999.0,0.8,-999.0,0,-999.0
2013-07-03 02:00,0.8,-999.0,59.83,904.63,17.3,16.98,152.85,-999.0,1.72,-999.0,0,-999.0
2013-07-03 03:00,0.2,-999.0,62.5,904.07,16.75,16.05,7.43,-999.0,3.62,-999.0,0,-999.0
2013-07-03 04:00,0,-999.0,61.17,903.8,16.48,15.88,26.87,-999.0,1.22,-999.0,0,-999.0
2013-07-03 05:00,0,-999.0,66.67,903.82,15.75,15.35,60.59,-999.0,0.98,-999.0,0,-999.0
2013-07-03 06:00,0,-999.0,62.67,903.6,15.5,15.27,58.48,-999.0,0.78,-999.0,9.33,-999.0
2013-07-03 07:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 08:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2013-07-03 09:00,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
